key,full-name,email,passport-number,birth-date,special-needs,draft-mode-passenger,key:customer
passenger-41,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,ABC123DE,2012/07/02 00:00,Lorem ipsum dolor sit amet consectetur adipiscin,true,customer-01
passenger-42,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,ABC123DE,2012/07/02 00:00,حمد بن سلمان,true,customer-01
passenger-43,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,ABC123DE,2012/07/02 00:00,需要特殊膳食和轮椅协助,true,customer-01
passenger-44,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,ABC123DE,2012/07/02 00:00,<marquee>Hacked</marquee>,true,customer-01
passenger-45,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,ABC123DE,2012/07/02 00:00,<script>alert('Hacked!');</script>,true,customer-01
passenger-46,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,ABC123DE,2012/07/02 00:00,' or 'A' = 'A,true,customer-01
# special-needs - no singular values
# draft-mode-passenger - standard variations
passenger-47,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,ABC123DE,2012/07/02 00:00,Vegetarian meal,true,customer-02
passenger-48,Lorem ipsum dolor sit ame,acme@lorem-ipsum.org,ABC123DE,2012/07/02 00:00,Vegetarian meal,false,customer-02
# draft-mode-passenger - no singular values
